base_task,encoder,head,level,metric,train_seed_mean,train_seed_sd,train_seed_min,train_seed_max,n_train_seeds,infer_seed_sd,n_units,n_subjects,train_seed_range,boot_ci_lo,boot_ci_hi,boot_ci_width,legacy_value,legacy_ci_lo,legacy_ci_hi,legacy_z,legacy_inside_seed_range
B2_corrected,pointnet2,knn11,subject,f1_class::Tetrasomy 18p,0.048,0.07155417527999328,0.0,0.16,5,0.07959489224040993,169,169,0.16,,,,,,,,False
B2_corrected,pointnet2,knn11,subject,f1_class::Trisomy 18,0.02,0.044721359549995794,0.0,0.1,5,0.0447213595499958,169,169,0.1,,,,,,,,False
B2_corrected,pointnet2,knn11,subject,f1_class::Turner Syndrome,0.22799999999999998,0.198292712927127,0.0,0.48,5,0.14682419662930749,169,169,0.48,,,,,,,,False
B2_corrected,pointnet2,knn11,subject,f1_class::Williams Syndrome,0.40051287206085967,0.07925965845861639,0.30072254542842775,0.4854935913759443,5,0.07941619311117375,169,169,0.18477104594751653,,,,,,,,False
B2_corrected,pointnet2,knn11,subject,macro_auc,0.8299410590434476,0.014115460784777142,0.8166458170562712,0.8477965931392172,5,0.002747528714852127,169,169,0.03115077608294603,0.8113205446868491,0.8777981003174009,0.0664775556305518,0.8220400216886347,0.8038041372414294,0.8799752748266859,-0.5597434951138012,True
B2_corrected,pointnet2,knn11,subject,macro_f1,0.24281738443500184,0.008219897059388498,0.23119509100619076,0.2519346106637251,5,0.020957734282981096,169,169,0.020739519657534317,0.19180746475399196,0.29595049874400864,0.10414303399001668,0.2446694033405202,0.1999237812001114,0.2915927397354751,0.2253092577848101,True
B2_corrected,pointnet2,proto,scan,accuracy,0.31646315789473684,0.020024583229570746,0.29684210526315785,0.3431578947368421,5,0.008990740646748555,475,169,0.046315789473684255,0.2663338622917997,0.3674951151286228,0.10116125283682315,0.3250526315789473,0.2744261534261534,0.3749014418850008,0.4289464397704025,True
B2_corrected,pointnet2,proto,scan,f1_class::4p Deletion Wolff-Hirschhorn Syndrome,0.10889760394404358,0.13915363407789882,0.0,0.3450326797385621,5,0.043418844038922974,475,169,0.3450326797385621,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::5p-,0.30646090957546057,0.11564978182100523,0.1982683982683982,0.4861471861471861,5,0.03964534677504554,475,169,0.2878787878787879,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Achondroplasia,0.4924391110422162,0.0162860184743744,0.4712930333423692,0.5116279069767442,5,0.04661938587964607,475,169,0.04033487363437499,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Angelman Syndrome,0.10478392408143729,0.0579309937276956,0.021052631578947358,0.17718438252493976,5,0.034980928657961076,475,169,0.1561317509459924,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Apert Syndrome,0.0,0.0,0.0,0.0,5,0.0,475,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Bohring-Opitz Syndrome,0.29866870066563156,0.06963637525633563,0.20156376956376953,0.3771842650103519,5,0.05801390291736458,475,169,0.17562049544658237,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::CDKL5,0.0,0.0,0.0,0.0,5,0.0,475,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::CFC,0.2837329322821317,0.09233063205502512,0.1590027858320541,0.392039442039442,5,0.037994202317839385,475,169,0.23303665620738792,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::CHARGE Syndrome,0.14251197733056659,0.04457474050125438,0.10405723905723903,0.20427615816610123,5,0.04374089035400338,475,169,0.1002189191088622,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::CdLS,0.14692965540968134,0.057834059971923694,0.07422141583906287,0.20132132132132127,5,0.0332217890219431,475,169,0.1270999054822584,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Cockayne Syndrome,0.4753397841412009,0.0574479802141889,0.3948869748869749,0.5561781609195402,5,0.04547390377303665,475,169,0.16129118603256531,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Cohen Syndrome,0.48341928352714847,0.053255950012081034,0.3953278515707358,0.5313704686118479,5,0.026148263894978672,475,169,0.1360426170411121,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Costello Syndrome,0.2960209575833753,0.029577383158834805,0.2596286886847762,0.33288225049122516,5,0.04974631610815092,475,169,0.07325356180644899,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Crouzon Syndrome,0.0,0.0,0.0,0.0,5,0.0,475,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Down Syndrome,0.5832972012730355,0.04878889114037833,0.5386100386100386,0.6625364181205002,5,0.031811337271560956,475,169,0.12392637951046159,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Ehlers-Danlos Syndrome,0.28641737748064583,0.10892321675449876,0.1834492753623188,0.43298368298368295,5,0.04772966519697856,475,169,0.24953440762136414,,,,,,,,False
B2_corrected,pointnet2,proto,scan,"f1_class::Facial Dysmorphia, possibly genetic",0.184910186499806,0.10080328428104396,0.0918140682846565,0.3565860215053763,5,0.035585062136202834,475,169,0.26477195322071984,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Jacobsen Syndrome,0.2086235127309636,0.057925036503365036,0.11349007314524553,0.25953056208302944,5,0.04773114455980014,475,169,0.1460404889377839,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Joubert Syndrome,0.2320116594801739,0.061191286374306084,0.15323491655969187,0.3240447272026219,5,0.036502799415248144,475,169,0.17080981064293002,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Loeys-Dietz Syndrome,0.3191553797842127,0.060041969005090255,0.2631578947368421,0.40783216783216786,5,0.04560878367743298,475,169,0.14467427309532577,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Marfan Syndrome,0.44187753075810476,0.0580354312090745,0.3603144218624095,0.5146260432703995,5,0.03181921393958411,475,169,0.15431162140799004,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Mucopolysaccharidosis type IIIB (Sanfilippo B),0.012444444444444444,0.018162503770402266,0.0,0.04,5,0.02782662371999738,475,169,0.04,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Noonan Syndrome,0.37195756470143765,0.06859528467683232,0.2556733593336222,0.427512077294686,5,0.038879934438219646,475,169,0.1718387179610638,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Pallister-Killian Syndrome,0.4106878581000979,0.04664611378582223,0.36842445132859203,0.47942607150063754,5,0.04834411566417851,475,169,0.11100162017204551,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Phelan McDermid Syndrome,0.5097566700770286,0.04849369760873326,0.4563978992360071,0.5689291552625418,5,0.03079353185589446,475,169,0.11253125602653474,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Pitt Hopkins,0.38171666818033106,0.07892741061940357,0.3253757736516357,0.5132723112128146,5,0.04245047364877135,475,169,0.18789653756117886,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Rett Syndrome,0.19020743379004246,0.09560938594291998,0.059047619047619036,0.32915151515151514,5,0.06616840696194502,475,169,0.2701038961038961,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Rubinstein-Taybi Syndrome,0.24018813865872687,0.06681932505999201,0.129037629037629,0.29392156862745095,5,0.05758185067979861,475,169,0.16488393958982195,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Smith-Lemli-Opitz,0.11294135413949653,0.07219664189173651,0.02352941176470588,0.1979736104968303,5,0.055327206796808005,475,169,0.1744441987321244,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Tetrasomy 18p,0.3563388561369651,0.07744337020776484,0.28168948168948166,0.4518989353249642,5,0.03858003047532408,475,169,0.17020945363548257,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Trisomy 18,0.36326099371879417,0.028630549150077175,0.3300365978626848,0.4072489601901366,5,0.062485236394804786,475,169,0.07721236232745182,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Turner Syndrome,0.1805404260088336,0.07281841953136042,0.10695374800637955,0.29505590062111803,5,0.049935189334699266,475,169,0.18810215261473848,,,,,,,,False
B2_corrected,pointnet2,proto,scan,f1_class::Williams Syndrome,0.2606720918693678,0.05525512712229904,0.19623640842435114,0.3312772411419228,5,0.04935589833079138,475,169,0.13504083271757167,,,,,,,,False
B2_corrected,pointnet2,proto,scan,macro_auc,0.8405348494010028,0.0056452279316116,0.8317745723883867,0.8454259922632528,5,0.0028656036640024177,475,169,0.013651419874866066,0.8245952506694376,0.8753775645421346,0.05078231387269694,0.8402549935037266,0.8270065062483116,0.8724745235667233,-0.049573888010629896,True
B2_corrected,pointnet2,proto,scan,macro_f1,0.26624879355804254,0.016657911323169683,0.2511820651360492,0.2880641191634693,5,0.008070093620305741,475,169,0.03688205402742012,0.22509135497872088,0.3183106252998864,0.09321927032116553,0.2774457410878125,0.2361878389141357,0.3293742886970562,0.6721699565176577,True
B2_corrected,pointnet2,proto,scan,top3_accuracy,0.5635368421052631,0.018316031456356685,0.5397894736842106,0.5861052631578947,5,0.008583301093869244,475,169,0.04631578947368409,0.5078388895858598,0.6186059469757481,0.11076705738988835,,,,,False
B2_corrected,pointnet2,proto,scan,top5_accuracy,0.6947368421052631,0.013853207474831243,0.6732631578947368,0.7094736842105263,5,0.00886956242737765,475,169,0.03621052631578947,0.6417889082279953,0.7454649795801931,0.10367607135219781,,,,,False
B2_corrected,pointnet2,proto,subject,accuracy,0.43076923076923074,0.037952941327395455,0.39289940828402364,0.47928994082840237,5,0.013225557816098405,169,169,0.08639053254437873,0.3616449704142012,0.4994082840236686,0.13776331360946742,0.4142011834319526,0.3455621301775148,0.4852071005917159,-0.43654185309002286,True
B2_corrected,pointnet2,proto,subject,f1_class::4p Deletion Wolff-Hirschhorn Syndrome,0.07466666666666667,0.1669597423199843,0.0,0.37333333333333335,5,0.007302967433402219,169,169,0.37333333333333335,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::5p-,0.4986320346320346,0.11292169709481378,0.35757575757575755,0.6342857142857142,5,0.04425114825935235,169,169,0.2767099567099567,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Achondroplasia,0.6482698564593301,0.04310204792023356,0.6080382775119617,0.7,5,0.039447146719749915,169,169,0.09196172248803824,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Angelman Syndrome,0.1541933621933622,0.13866719571813452,0.0,0.36,5,0.08566902334701047,169,169,0.36,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Apert Syndrome,0.0,0.0,0.0,0.0,5,0.0,169,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Bohring-Opitz Syndrome,0.9199999999999999,0.1095445115010332,0.8,1.0,5,0.07302967433402216,169,169,0.19999999999999996,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::CDKL5,0.0,0.0,0.0,0.0,5,0.0,169,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::CFC,0.4443809523809524,0.09431788238593834,0.3587301587301587,0.5599999999999999,5,0.09573323212940096,169,169,0.20126984126984127,,,,,,,,False
