task,encoder,head,level,seed,metric,value,n_units,n_subjects
A1_ts2,pointnet2,softmax,scan,2,accuracy,0.673469387755102,1029,1029
A1_ts2,pointnet2,softmax,scan,2,macro_f1,0.2243763269639065,1029,1029
A1_ts2,pointnet2,softmax,scan,2,macro_auc,0.4644859150044438,1029,1029
A1_ts2,pointnet2,softmax,scan,2,f1_class::Unaffected,0.8083333333333333,1029,1029
A1_ts2,pointnet2,softmax,scan,2,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,2,f1_class::Cleft Palate,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,2,f1_class::Cleft Lip and Palate,0.0891719745222929,1029,1029
A1_ts2,pointnet2,softmax,scan,3,accuracy,0.6987366375121478,1029,1029
A1_ts2,pointnet2,softmax,scan,3,macro_f1,0.2410266624541546,1029,1029
A1_ts2,pointnet2,softmax,scan,3,macro_auc,0.4769463037041477,1029,1029
A1_ts2,pointnet2,softmax,scan,3,f1_class::Unaffected,0.8245717660956882,1029,1029
A1_ts2,pointnet2,softmax,scan,3,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,3,f1_class::Cleft Palate,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,3,f1_class::Cleft Lip and Palate,0.1395348837209302,1029,1029
A1_ts2,pointnet2,softmax,scan,4,accuracy,0.6899902818270165,1029,1029
A1_ts2,pointnet2,softmax,scan,4,macro_f1,0.2343156255306193,1029,1029
A1_ts2,pointnet2,softmax,scan,4,macro_auc,0.4841269744449634,1029,1029
A1_ts2,pointnet2,softmax,scan,4,f1_class::Unaffected,0.8184506209343584,1029,1029
A1_ts2,pointnet2,softmax,scan,4,f1_class::Cleft Lip,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,4,f1_class::Cleft Palate,0.0,1029,1029
A1_ts2,pointnet2,softmax,scan,4,f1_class::Cleft Lip and Palate,0.1188118811881188,1029,1029
A1_ts3,geommlp,softmax,scan,0,accuracy,0.5568513119533528,1029,1029
A1_ts3,geommlp,softmax,scan,0,macro_f1,0.2550364110109983,1029,1029
A1_ts3,geommlp,softmax,scan,0,macro_auc,0.577400076274474,1029,1029
A1_ts3,geommlp,softmax,scan,0,f1_class::Unaffected,0.7277701778385773,1029,1029
A1_ts3,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.0655737704918032,1029,1029
A1_ts3,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.0454545454545454,1029,1029
A1_ts3,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1813471502590673,1029,1029
A1_ts3,pointnet,softmax,scan,0,accuracy,0.6219630709426628,1029,1029
A1_ts3,pointnet,softmax,scan,0,macro_f1,0.2307989289494987,1029,1029
A1_ts3,pointnet,softmax,scan,0,macro_auc,0.4914157474893528,1029,1029
A1_ts3,pointnet,softmax,scan,0,f1_class::Unaffected,0.7647798742138365,1029,1029
A1_ts3,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1584158415841584,1029,1029
A1_ts3,dgcnn,softmax,scan,0,accuracy,0.6482021379980564,1029,1029
A1_ts3,dgcnn,softmax,scan,0,macro_f1,0.2431634339616812,1029,1029
A1_ts3,dgcnn,softmax,scan,0,macro_auc,0.5063084964045563,1029,1029
A1_ts3,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7955801104972375,1029,1029
A1_ts3,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0689655172413793,1029,1029
A1_ts3,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1081081081081081,1029,1029
A1_ts3,pointnet2,softmax,scan,0,accuracy,0.7599611273080661,1029,1029
A1_ts3,pointnet2,softmax,scan,0,macro_f1,0.2443397047077524,1029,1029
A1_ts3,pointnet2,softmax,scan,0,macro_auc,0.5087111256242755,1029,1029
A1_ts3,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8646827624929815,1029,1029
A1_ts3,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1126760563380281,1029,1029
A1_ts3,pointnet2,softmax,scan,1,accuracy,0.760932944606414,1029,1029
A1_ts3,pointnet2,softmax,scan,1,macro_f1,0.2446318531224191,1029,1029
A1_ts3,pointnet2,softmax,scan,1,macro_auc,0.5503401562880421,1029,1029
A1_ts3,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8653198653198653,1029,1029
A1_ts3,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.1132075471698113,1029,1029
A1_ts3,pointnet2,softmax,scan,2,accuracy,0.7735665694849369,1029,1029
A1_ts3,pointnet2,softmax,scan,2,macro_f1,0.2548082144175843,1029,1029
A1_ts3,pointnet2,softmax,scan,2,macro_auc,0.536293430102731,1029,1029
A1_ts3,pointnet2,softmax,scan,2,f1_class::Unaffected,0.8736017897091722,1029,1029
A1_ts3,pointnet2,softmax,scan,2,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,2,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,2,f1_class::Cleft Lip and Palate,0.145631067961165,1029,1029
A1_ts3,pointnet2,softmax,scan,3,accuracy,0.760932944606414,1029,1029
A1_ts3,pointnet2,softmax,scan,3,macro_f1,0.2466659666071616,1029,1029
A1_ts3,pointnet2,softmax,scan,3,macro_auc,0.502832762994348,1029,1029
A1_ts3,pointnet2,softmax,scan,3,f1_class::Unaffected,0.8651685393258427,1029,1029
A1_ts3,pointnet2,softmax,scan,3,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,3,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,3,f1_class::Cleft Lip and Palate,0.1214953271028037,1029,1029
A1_ts3,pointnet2,softmax,scan,4,accuracy,0.7628765792031098,1029,1029
A1_ts3,pointnet2,softmax,scan,4,macro_f1,0.2388321585843024,1029,1029
A1_ts3,pointnet2,softmax,scan,4,macro_auc,0.5311802494070577,1029,1029
A1_ts3,pointnet2,softmax,scan,4,f1_class::Unaffected,0.8675237562884293,1029,1029
A1_ts3,pointnet2,softmax,scan,4,f1_class::Cleft Lip,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,4,f1_class::Cleft Palate,0.0,1029,1029
A1_ts3,pointnet2,softmax,scan,4,f1_class::Cleft Lip and Palate,0.0878048780487804,1029,1029
A1_ts4,geommlp,softmax,scan,0,accuracy,0.5821185617103984,1029,1029
A1_ts4,geommlp,softmax,scan,0,macro_f1,0.2757802449545852,1029,1029
A1_ts4,geommlp,softmax,scan,0,macro_auc,0.59481536869334,1029,1029
A1_ts4,geommlp,softmax,scan,0,f1_class::Unaffected,0.7501683501683502,1029,1029
A1_ts4,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.0625,1029,1029
A1_ts4,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.0747663551401869,1029,1029
A1_ts4,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2156862745098039,1029,1029
A1_ts4,pointnet,softmax,scan,0,accuracy,0.7793974732750243,1029,1029
A1_ts4,pointnet,softmax,scan,0,macro_f1,0.2410735236307454,1029,1029
A1_ts4,pointnet,softmax,scan,0,macro_auc,0.523483620659425,1029,1029
A1_ts4,pointnet,softmax,scan,0,f1_class::Unaffected,0.875896304467733,1029,1029
A1_ts4,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts4,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.0883977900552486,1029,1029
A1_ts4,dgcnn,softmax,scan,0,accuracy,0.7035957240038873,1029,1029
A1_ts4,dgcnn,softmax,scan,0,macro_f1,0.2822967839924865,1029,1029
A1_ts4,dgcnn,softmax,scan,0,macro_auc,0.5967248245974297,1029,1029
A1_ts4,dgcnn,softmax,scan,0,f1_class::Unaffected,0.8307134220072552,1029,1029
A1_ts4,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0689655172413793,1029,1029
A1_ts4,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2295081967213114,1029,1029
A1_ts4,pointnet2,softmax,scan,0,accuracy,0.7142857142857143,1029,1029
A1_ts4,pointnet2,softmax,scan,0,macro_f1,0.2546877797695367,1029,1029
A1_ts4,pointnet2,softmax,scan,0,macro_auc,0.5236726888464905,1029,1029
A1_ts4,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8375664500886001,1029,1029
A1_ts4,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.181184668989547,1029,1029
A1_ts4,pointnet2,softmax,scan,1,accuracy,0.7113702623906706,1029,1029
A1_ts4,pointnet2,softmax,scan,1,macro_f1,0.2541059217107529,1029,1029
A1_ts4,pointnet2,softmax,scan,1,macro_auc,0.5172850777139364,1029,1029
A1_ts4,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8364928909952607,1029,1029
A1_ts4,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.1799307958477508,1029,1029
A1_ts4,pointnet2,softmax,scan,2,accuracy,0.7133138969873664,1029,1029
A1_ts4,pointnet2,softmax,scan,2,macro_f1,0.2669284025667005,1029,1029
A1_ts4,pointnet2,softmax,scan,2,macro_auc,0.5053133120570192,1029,1029
A1_ts4,pointnet2,softmax,scan,2,f1_class::Unaffected,0.8356973995271868,1029,1029
A1_ts4,pointnet2,softmax,scan,2,f1_class::Cleft Lip,0.0476190476190476,1029,1029
A1_ts4,pointnet2,softmax,scan,2,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,2,f1_class::Cleft Lip and Palate,0.1843971631205673,1029,1029
A1_ts4,pointnet2,softmax,scan,3,accuracy,0.7084548104956269,1029,1029
A1_ts4,pointnet2,softmax,scan,3,macro_f1,0.2505152214678706,1029,1029
A1_ts4,pointnet2,softmax,scan,3,macro_auc,0.5187241613682421,1029,1029
A1_ts4,pointnet2,softmax,scan,3,f1_class::Unaffected,0.8348134991119005,1029,1029
A1_ts4,pointnet2,softmax,scan,3,f1_class::Cleft Lip,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,3,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,3,f1_class::Cleft Lip and Palate,0.1672473867595819,1029,1029
A1_ts4,pointnet2,softmax,scan,4,accuracy,0.7210884353741497,1029,1029
A1_ts4,pointnet2,softmax,scan,4,macro_f1,0.2832313608911835,1029,1029
A1_ts4,pointnet2,softmax,scan,4,macro_auc,0.4977656749728445,1029,1029
A1_ts4,pointnet2,softmax,scan,4,f1_class::Unaffected,0.8406139315230224,1029,1029
A1_ts4,pointnet2,softmax,scan,4,f1_class::Cleft Lip,0.0930232558139534,1029,1029
A1_ts4,pointnet2,softmax,scan,4,f1_class::Cleft Palate,0.0,1029,1029
A1_ts4,pointnet2,softmax,scan,4,f1_class::Cleft Lip and Palate,0.199288256227758,1029,1029
A1_ts5,geommlp,softmax,scan,0,accuracy,0.5860058309037901,1029,1029
A1_ts5,geommlp,softmax,scan,0,macro_f1,0.2976105866089054,1029,1029
A1_ts5,geommlp,softmax,scan,0,macro_auc,0.6118685724878107,1029,1029
A1_ts5,geommlp,softmax,scan,0,f1_class::Unaffected,0.7488021902806297,1029,1029
A1_ts5,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.1098901098901098,1029,1029
A1_ts5,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.0930232558139534,1029,1029
A1_ts5,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2387267904509283,1029,1029
A1_ts5,pointnet,softmax,scan,0,accuracy,0.7687074829931972,1029,1029
A1_ts5,pointnet,softmax,scan,0,macro_f1,0.2426654216760961,1029,1029
A1_ts5,pointnet,softmax,scan,0,macro_auc,0.488893226122471,1029,1029
A1_ts5,pointnet,softmax,scan,0,f1_class::Unaffected,0.8716517857142857,1029,1029
A1_ts5,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts5,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts5,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.099009900990099,1029,1029
A1_ts5,dgcnn,softmax,scan,0,accuracy,0.6336248785228377,1029,1029
A1_ts5,dgcnn,softmax,scan,0,macro_f1,0.259783297140789,1029,1029
A1_ts5,dgcnn,softmax,scan,0,macro_auc,0.5593488022212557,1029,1029
A1_ts5,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7752442996742671,1029,1029
A1_ts5,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts5,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts5,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2638888888888889,1029,1029
A1_ts5,pointnet2,softmax,scan,0,accuracy,0.7317784256559767,1029,1029
A1_ts5,pointnet2,softmax,scan,0,macro_f1,0.2268890831390831,1029,1029
A1_ts5,pointnet2,softmax,scan,0,macro_auc,0.4557397967146192,1029,1029
A1_ts5,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8477272727272728,1029,1029
A1_ts5,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts5,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
