task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
B1_corrected,dgcnn,knn11,scan,macro_auc,1,0.70227086104319,0.0,0.70227086104319,0.70227086104319,True,0.702782560790618,0.678848800073278,0.725124071460276,2000,733,1840
B1_corrected,dgcnn,knn11,subject,accuracy,1,0.29195088676671216,0.0,0.29195088676671216,0.29195088676671216,True,0.29202114597544343,0.2592087312414734,0.32605729877216916,2000,733,733
B1_corrected,dgcnn,knn11,subject,macro_f1,1,0.20372144512880716,0.0,0.20372144512880716,0.20372144512880716,True,0.19940731522715804,0.16177338672861094,0.2383340588296897,2000,733,733
B1_corrected,dgcnn,knn11,subject,macro_auc,1,0.7236182701280378,0.0,0.7236182701280378,0.7236182701280378,True,0.7239145582093099,0.7009498376466721,0.7461808240131287,2000,733,733
B1_corrected,pointnet2,softmax,scan,accuracy,5,0.2952173913043478,0.007346008908305748,0.28804347826086957,0.3076086956521739,False,0.29473574727494034,0.270297048557544,0.3202246356838119,2000,733,1840
B1_corrected,pointnet2,softmax,scan,macro_f1,5,0.265127896308225,0.01158165988542378,0.24926419588658738,0.2791797244263307,False,0.26070571272266807,0.23020354258198014,0.28994215243969546,2000,733,1840
B1_corrected,pointnet2,softmax,scan,macro_auc,5,0.7741697062998971,0.0015976067262182723,0.771782213624208,0.7756239253611973,False,0.7749796164785308,0.7506003299953552,0.7982693572444193,2000,733,1840
B1_corrected,pointnet2,softmax,subject,accuracy,5,0.3495225102319236,0.0102727697664484,0.33560709413369716,0.36425648021828105,False,0.3490114597544338,0.3175989085948158,0.3798090040927694,2000,733,733
B1_corrected,pointnet2,softmax,subject,macro_f1,5,0.3259332927297086,0.011738577613012014,0.3125036419172891,0.3433760408850919,False,0.3204586003721522,0.2823866878045897,0.35622189597638043,2000,733,733
B1_corrected,pointnet2,softmax,subject,macro_auc,5,0.8109247968527333,0.0027045192203864967,0.8077376525517891,0.8151487876324474,False,0.8106221462413749,0.7870477420944804,0.8326381307379751,2000,733,733
B1_corrected,pointnet2,proto,scan,accuracy,5,0.26619565217391306,0.0029618318681388514,0.2619565217391304,0.26956521739130435,False,0.2655296650051427,0.24119573299464206,0.2903900663942799,2000,733,1840
B1_corrected,pointnet2,proto,scan,macro_f1,5,0.24392864714653548,0.0016119813367554776,0.24198915778371002,0.2462198578881401,False,0.23950494043188764,0.2128499316976575,0.26618007311896064,2000,733,1840
B1_corrected,pointnet2,proto,scan,macro_auc,5,0.7694826131176292,0.0013027354646728796,0.7678190572974648,0.7710290061917854,False,0.7704812205104933,0.7474136576685563,0.7929131871511584,2000,733,1840
B1_corrected,pointnet2,proto,subject,accuracy,5,0.35743519781718963,0.00954979536152797,0.3506139154160982,0.373806275579809,False,0.3566533424283765,0.3263233287858117,0.3874488403819918,2000,733,733
B1_corrected,pointnet2,proto,subject,macro_f1,5,0.34901379886517747,0.016207666872828597,0.339638294198058,0.3778903451022338,False,0.34268973935306185,0.3012819439092879,0.3798812984121614,2000,733,733
B1_corrected,pointnet2,proto,subject,macro_auc,5,0.8118637811150421,0.002421092353653019,0.8080887123747146,0.8147163057910444,False,0.8117253216835711,0.7881004754446393,0.8329063549376469,2000,733,733
B1_corrected,pointnet2,knn11,scan,accuracy,5,0.28478260869565214,0.003881211102468939,0.2798913043478261,0.2896739130434783,False,0.2850339555891342,0.2587079640023661,0.3116486043110649,2000,733,1840
B1_corrected,pointnet2,knn11,scan,macro_f1,5,0.18534652019674033,0.0027586298008241976,0.1818153816396814,0.18816873535474088,False,0.1820226285588638,0.15453973721492992,0.21118563246070848,2000,733,1840
