base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds,n_units,n_subjects
A1,pointnet,softmax,scan,f1_class::Cleft Palate,4,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Cleft Palate,5,0.0,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Unaffected,1,0.8273844353423054,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Unaffected,2,0.8865979381443299,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Unaffected,3,0.7647798742138365,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Unaffected,4,0.875896304467733,0.0,1,1029,1029
A1,pointnet,softmax,scan,f1_class::Unaffected,5,0.8716517857142857,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_auc,1,0.5042820764800162,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_auc,2,0.5005889420338898,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_auc,3,0.4914157474893528,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_auc,4,0.523483620659425,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_auc,5,0.488893226122471,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_f1,1,0.2401794421689096,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_f1,2,0.2282720010923738,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_f1,3,0.2307989289494987,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_f1,4,0.2410735236307454,0.0,1,1029,1029
A1,pointnet,softmax,scan,macro_f1,5,0.2426654216760961,0.0,1,1029,1029
A1,pointnet2,softmax,scan,accuracy,1,0.681438289601555,0.010108768609481702,5,1029,1029
A1,pointnet2,softmax,scan,accuracy,2,0.6866861030126337,0.00943714160257356,5,1029,1029
A1,pointnet2,softmax,scan,accuracy,3,0.7636540330417881,0.005641564732244895,5,1029,1029
A1,pointnet2,softmax,scan,accuracy,4,0.7137026239067056,0.004690969246315708,5,1029,1029
A1,pointnet2,softmax,scan,accuracy,5,0.7315840621963071,0.0017384396326529223,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip,1,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip,3,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip,4,0.028128460686600198,0.04172783338308279,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip,5,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,1,0.18372840674541768,0.027976119832350033,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,2,0.1101250143139864,0.027552613803223637,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1161629753241177,0.020747754696747125,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,4,0.182409654189041,0.011471454567227717,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,5,0.05496764438293668,0.004449033200750127,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Palate,1,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Palate,2,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Palate,3,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Palate,4,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Cleft Palate,5,0.0,0.0,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Unaffected,1,0.8114183774500715,0.00700872073512138,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Unaffected,2,0.8168047642519219,0.005976898265055612,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Unaffected,3,0.8672593426272582,0.0037104024522464306,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Unaffected,4,0.8370368342491942,0.0022421695193786425,5,1029,1029
A1,pointnet2,softmax,scan,f1_class::Unaffected,5,0.8476031107245635,0.001351457491732467,5,1029,1029
A1,pointnet2,softmax,scan,macro_auc,1,0.5085899539099336,0.0082583154629837,5,1029,1029
A1,pointnet2,softmax,scan,macro_auc,2,0.4752102411683198,0.007284775417039512,5,1029,1029
A1,pointnet2,softmax,scan,macro_auc,3,0.5258715448832908,0.019753331613907816,5,1029,1029
A1,pointnet2,softmax,scan,macro_auc,4,0.5125521829917066,0.010667723887963988,5,1029,1029
A1,pointnet2,softmax,scan,macro_auc,5,0.4711719070400001,0.012900273901590596,5,1029,1029
A1,pointnet2,softmax,scan,macro_f1,1,0.24878669604887227,0.008017430309585197,5,1029,1029
A1,pointnet2,softmax,scan,macro_f1,2,0.2317324446414771,0.008149998501931233,5,1029,1029
A1,pointnet2,softmax,scan,macro_f1,3,0.24585557948784395,0.005786411306306795,5,1029,1029
A1,pointnet2,softmax,scan,macro_f1,4,0.26189373728120885,0.013441433638118101,5,1029,1029
A1,pointnet2,softmax,scan,macro_f1,5,0.22564268877687504,0.00121094311133867,5,1029,1029
A1_fix,dgcnn,softmax,scan,accuracy,1,0.652089407191448,0.0,1,1029,1029
