task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
B2_corrected_ts5,pointnet2,proto,subject,macro_auc,5,0.8807045727204894,0.0039688566915414,0.8751591151654561,0.886208551507485,False,0.8890637929126469,0.8615218777984581,0.9201239965495024,2000,169,169
B2_corrected_ts5,pointnet2,proto,subject,top3_accuracy,5,0.6804733727810651,0.0110699922685619,0.6686390532544378,0.6923076923076923,False,0.6798266272189348,0.6118343195266273,0.744378698224852,2000,169,169
B2_corrected_ts5,pointnet2,proto,subject,top5_accuracy,5,0.7680473372781066,0.0134932002970312,0.7455621301775148,0.7810650887573964,False,0.7679349112426036,0.7052958579881657,0.8260355029585797,2000,169,169
B2_corrected_ts5,pointnet2,knn11,scan,accuracy,5,0.3027368421052632,0.018377391867617,0.2757894736842105,0.3242105263157894,False,0.3035982821101777,0.2507376925400181,0.3572684246112237,2000,169,475
B2_corrected_ts5,pointnet2,knn11,scan,macro_f1,5,0.2331046140718397,0.0183627430336486,0.2068174473910314,0.2574664062221761,False,0.2351243354459347,0.1932030491592451,0.278926485773815,2000,169,475
B2_corrected_ts5,pointnet2,knn11,scan,macro_auc,5,0.7719273296555906,0.0030636522459417,0.7686842871807423,0.7766890935874694,False,0.7902149075888389,0.7579411657587988,0.8259053274199845,2000,169,475
B2_corrected_ts5,pointnet2,knn11,subject,accuracy,5,0.3266272189349112,0.0255878678230055,0.2899408284023668,0.3609467455621302,False,0.3269792899408283,0.2674556213017751,0.3870118343195264,2000,169,169
B2_corrected_ts5,pointnet2,knn11,subject,macro_f1,5,0.239262494589287,0.0377216938184469,0.1948058318570852,0.2809564912576451,False,0.2375221666951051,0.1860688152403952,0.2898984177035057,2000,169,169
B2_corrected_ts5,pointnet2,knn11,subject,macro_auc,5,0.8166458170562712,0.0030295445679869,0.813282102846184,0.8210391164199514,False,0.8343058583350764,0.7989567487793735,0.8758955725983337,2000,169,169
C_corrected_ts1,geommlp,softmax,scan,accuracy,1,0.848859576806815,0.0,0.848859576806815,0.848859576806815,True,0.8487965913375957,0.8337948251526566,0.8646100900428711,2000,2658,3639
C_corrected_ts1,geommlp,softmax,scan,macro_f1,1,0.8453394349088009,0.0,0.8453394349088009,0.8453394349088009,True,0.84512299889773,0.8291439877191924,0.8612506161761079,2000,2658,3639
C_corrected_ts1,geommlp,softmax,scan,macro_auc,1,0.9138497592786,0.0,0.9138497592786,0.9138497592786,True,0.9137864940975148,0.9017651647113484,0.92534112290687,2000,2658,3639
C_corrected_ts1,geommlp,softmax,subject,accuracy,1,0.8649360421369451,0.0,0.8649360421369451,0.8649360421369451,True,0.8649495861550037,0.8525206922498119,0.8781132430398796,2000,2658,2658
C_corrected_ts1,geommlp,softmax,subject,macro_f1,1,0.8244054590940584,0.0,0.8244054590940584,0.8244054590940584,True,0.8242530318990987,0.8080674638639628,0.8406338981984521,2000,2658,2658
C_corrected_ts1,geommlp,softmax,subject,macro_auc,1,0.902500481044646,0.0,0.902500481044646,0.902500481044646,True,0.902485545096943,0.889564923432331,0.9150472035859724,2000,2658,2658
C_corrected_ts1,pointnet,softmax,scan,accuracy,1,0.8774388568287991,0.0,0.8774388568287991,0.8774388568287991,True,0.8773458918005079,0.8645569263329695,0.890940144945671,2000,2658,3639
C_corrected_ts1,pointnet,softmax,scan,macro_f1,1,0.8739073483619548,0.0,0.8739073483619548,0.8739073483619548,True,0.8736789783293757,0.8598932899944588,0.8877155779520463,2000,2658,3639
C_corrected_ts1,pointnet,softmax,scan,macro_auc,1,0.9383900463300936,0.0,0.9383900463300936,0.9383900463300936,True,0.9383554419851824,0.9278891508329076,0.9481911642381036,2000,2658,3639
C_corrected_ts1,pointnet,softmax,subject,accuracy,1,0.8848758465011287,0.0,0.8848758465011287,0.8848758465011287,True,0.8848243039879609,0.8724604966139955,0.8972911963882618,2000,2658,2658
C_corrected_ts1,pointnet,softmax,subject,macro_f1,1,0.847490806486574,0.0,0.847490806486574,0.847490806486574,True,0.8472807304597834,0.8316201193294839,0.8629838366521755,2000,2658,2658
C_corrected_ts1,pointnet,softmax,subject,macro_auc,1,0.927187033816524,0.0,0.927187033816524,0.927187033816524,True,0.927222471701132,0.9161291386337838,0.9376540573398368,2000,2658,2658
C_corrected_ts1,dgcnn,softmax,scan,accuracy,1,0.8920032976092334,0.0,0.8920032976092334,0.8920032976092334,True,0.8919282831959051,0.8798342541436464,0.9036751616605044,2000,2658,3639
C_corrected_ts1,dgcnn,softmax,scan,macro_f1,1,0.8896627923743855,0.0,0.8896627923743855,0.8896627923743855,True,0.8894738874862625,0.8766089049214834,0.9016033394111695,2000,2658,3639
C_corrected_ts1,dgcnn,softmax,scan,macro_auc,1,0.9579630663973552,0.0,0.9579630663973552,0.9579630663973552,True,0.9578946190763832,0.9502747133567854,0.9648982215396552,2000,2658,3639
C_corrected_ts1,dgcnn,softmax,subject,accuracy,1,0.8961625282167043,0.0,0.8961625282167043,0.8961625282167043,True,0.896117381489842,0.8844996237772762,0.90744920993228,2000,2658,2658
C_corrected_ts1,dgcnn,softmax,subject,macro_f1,1,0.8691317765845479,0.0,0.8691317765845479,0.8691317765845479,True,0.8689386970261909,0.8545507245604814,0.8826003730758445,2000,2658,2658
C_corrected_ts1,dgcnn,softmax,subject,macro_auc,1,0.953216121836354,0.0,0.953216121836354,0.953216121836354,True,0.953134096091312,0.944689813120076,0.9605121272178816,2000,2658,2658
C_corrected_ts1,pointnet2,softmax,scan,accuracy,5,0.9072822203902172,0.00264723156445,0.9043693322341304,0.9104149491618576,False,0.9072345560927444,0.8966720795399431,0.9170965328529184,2000,2658,3639
C_corrected_ts1,pointnet2,softmax,scan,macro_f1,5,0.9041594723780072,0.0027390669588151,0.9012675210364708,0.9074153910125856,False,0.9039996069967696,0.8928787391089368,0.9144388953884952,2000,2658,3639
C_corrected_ts1,pointnet2,softmax,scan,macro_auc,5,0.96319255164684,0.0006295005252608,0.9624351599248728,0.964104118140807,False,0.9631795182609294,0.9558003891693146,0.9697445549941524,2000,2658,3639
C_corrected_ts1,pointnet2,softmax,subject,accuracy,5,0.9182844243792324,0.0018697928728049,0.9149736644093304,0.9194883370955604,False,0.918229194883371,0.908803611738149,0.92686230248307,2000,2658,2658
C_corrected_ts1,pointnet2,softmax,subject,macro_f1,5,0.8925699678129639,0.0024543026182457,0.8882396235584089,0.8940712434075266,False,0.8923759648950685,0.8799129657482442,0.903816458970062,2000,2658,2658
C_corrected_ts1,pointnet2,softmax,subject,macro_auc,5,0.9592437392862396,0.0005020788277064,0.958449997329562,0.9597954590848664,False,0.9591638667430542,0.950956211985792,0.9663863507299744,2000,2658,2658
C_corrected_ts2,geommlp,softmax,scan,accuracy,1,0.8516075845012366,0.0,0.8516075845012366,0.8516075845012366,True,0.851585813947218,0.8367513778019108,0.8666517320864048,2000,2658,3639
C_corrected_ts2,geommlp,softmax,scan,macro_f1,1,0.8484040091093679,0.0,0.8484040091093679,0.8484040091093679,True,0.8482377159623763,0.8325334402682307,0.8642752000466748,2000,2658,3639
C_corrected_ts2,geommlp,softmax,scan,macro_auc,1,0.91089984262555,0.0,0.91089984262555,0.91089984262555,True,0.9108784043598313,0.898507581891494,0.9229464142043348,2000,2658,3639
C_corrected_ts2,geommlp,softmax,subject,accuracy,1,0.8600451467268623,0.0,0.8600451467268623,0.8600451467268623,True,0.8601117381489841,0.8472535741158767,0.873589164785553,2000,2658,2658
C_corrected_ts2,geommlp,softmax,subject,macro_f1,1,0.8184726215260567,0.0,0.8184726215260567,0.8184726215260567,True,0.8183950341135499,0.8016951278544333,0.8354178758352829,2000,2658,2658
C_corrected_ts2,geommlp,softmax,subject,macro_auc,1,0.8967645266337776,0.0,0.8967645266337776,0.8967645266337776,True,0.8968105222861615,0.8835861483956955,0.90926173477817,2000,2658,2658
C_corrected_ts2,pointnet,softmax,scan,accuracy,1,0.8680956306677658,0.0,0.8680956306677658,0.8680956306677658,True,0.8681763283409835,0.8546217496542287,0.881994543453208,2000,2658,3639
C_corrected_ts2,pointnet,softmax,scan,macro_f1,1,0.8637622922178405,0.0,0.8637622922178405,0.8637622922178405,True,0.8637007931605961,0.8490259727700785,0.8780528132925393,2000,2658,3639
C_corrected_ts2,pointnet,softmax,scan,macro_auc,1,0.92850055637118,0.0,0.92850055637118,0.92850055637118,True,0.9284206380912596,0.9172890743491554,0.9391958623691704,2000,2658,3639
C_corrected_ts2,pointnet,softmax,subject,accuracy,1,0.873589164785553,0.0,0.873589164785553,0.873589164785553,True,0.8736331828442438,0.8611738148984198,0.8863807373965388,2000,2658,2658
C_corrected_ts2,pointnet,softmax,subject,macro_f1,1,0.8311979042629197,0.0,0.8311979042629197,0.8311979042629197,True,0.8311172371315841,0.8146224892583027,0.8475988953105321,2000,2658,2658
C_corrected_ts2,pointnet,softmax,subject,macro_auc,1,0.9159148591215942,0.0,0.9159148591215942,0.9159148591215942,True,0.9159006442974812,0.903908042397203,0.9279198412878472,2000,2658,2658
